WATCODE,STATE HERITAGE FISH WATER,ALTERNATE NAME,TOWN,COUNTY,REGION,STATE HERITAGE FISH,*LAST YEAR STOCKED
1904,SWEENEY P,,T12 R12 WELS,AROOSTOOK,G,BKT,NRS
1902,THREEMILE P,,T12 R12 WELS,AROOSTOOK,G,BKT,NRS
9765,TWO MILE P,,T16 R14 WELS,AROOSTOOK,G,BKT,NRS
9466,UNNAMED P,NO NAME P,T13 R10 WELS,AROOSTOOK,G,BKT,NRS
6402,UNNAMED P (VIOLETTE BROOK L),VIOLETTE BROOK L,CYR PLT,AROOSTOOK,G,BKT,NRS
1521,UPPER P,,T15 R9 WELS,AROOSTOOK,G,BKT,1978
1628,WALLAGRASS L (1ST & 2ND),,SAINT JOHN PLT,AROOSTOOK,G,BKT,1967
1552,WALLAGRASS L (THIRD),,SAINT JOHN PLT,AROOSTOOK,G,BKT,1967
1968,WEEKS P,,T11 R8 WELS,AROOSTOOK,G,BKT,1970
1614,WHEELOCK L,,SAINT JOHN PLT,AROOSTOOK,G,BKT,1945
